SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,HSHLD_INCOME_DGREE_NM,SU_TOUR_INTRST_VALUE,GG_IC_TOUR_INTRST_VALUE,BS_TOUR_INTRST_VALUE,CHN_DJ_TOUR_INTRST_VALUE,CB_TOUR_INTRST_VALUE,GN_US_TOUR_INTRST_VALUE,GB_DG_TOUR_INTRST_VALUE,JN_GJ_TOUR_INTRST_VALUE,JNBK_TOUR_INTRST_VALUE,GW_TOUR_INTRST_VALUE,JJ_TOUR_INTRST_VALUE,ANSWRR_OC_AREA_NM_1,ANSWRR_OC_AREA_NM_2,ANSWRR_OC_AREA_NM_3,ANSWRR_OC_AREA_NM_4,ANSWRR_OC_AREA_NM_5,ANSWRR_OC_AREA_NM_6,ANSWRR_OC_AREA_NM_7,ANSWRR_OC_AREA_NM_8,ANSWRR_OC_AREA_NM_9,ANSWRR_OC_AREA_NM_10,ANSWRR_OC_AREA_NM_11,ANSWRR_OC_AREA_NM_12,ANSWRR_OC_AREA_NM_13,ANSWRR_OC_AREA_NM_14,ANSWRR_OC_AREA_NM_15,ANSWRR_OC_AREA_NM_16
0,3,3,3,3,4,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,3,3,4,4,3,3,3,3,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,4,3,3,3,3,4,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,1,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,3,3,3,3,3,3,3,3,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,3,2,3,2,2,2,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,4,3,2,3,5,3,4,4,3,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,1,3,3,3,3,1,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,4,4,4,3,3,4,3,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,3,3,4,3,3,3,3,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,4,3,3,3,3,4,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,4,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,4,3,4,4,2,2,3,3,1,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,4,4,2,3,2,3,2,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,4,4,3,3,3,1,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,4,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,4,4,3,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,4,3,3,3,3,3,3,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,2,3,3,3,3,3,4,4,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,5,4,3,3,3,2,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,5,4,3,1,1,1,1,1,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,3,4,3,2,3,3,2,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,4,3,3,2,3,3,2,2,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,3,3,4,3,5,3,5,3,3,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,3,3,3,3,3,4,3,3,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,2,4,1,1,3,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,1,1,3,1,1,1,1,1,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,3,3,3,3,4,3,4,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,5,4,1,4,4,2,2,4,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,3,3,3,3,3,3,3,3,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,4,4,3,3,3,3,3,4,3,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,2,3,2,1,1,1,1,1,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,3,3,4,3,3,3,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,3,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,3,4,3,3,3,3,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,4,3,3,3,3,3,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,3,4,3,3,3,3,3,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,4,4,2,3,3,4,3,4,3,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,3,4,3,4,4,3,4,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,3,3,3,2,3,3,4,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,4,5,3,3,4,4,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,4,3,2,3,3,2,3,2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,2,1,5,1,1,5,2,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,4,4,4,3,3,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,2,3,3,3,3,3,3,4,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,4,3,3,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,3,1,3,3,1,2,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,2,3,3,4,3,3,4,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,3,3,3,3,3,3,3,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,3,5,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,3,3,3,3,3,4,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,4,3,4,4,1,3,2,3,1,1,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,4,4,3,4,3,1,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,2,3,2,2,2,4,2,2,2,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,3,3,3,3,3,4,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,3,3,3,3,3,4,4,3,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,3,3,2,3,3,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,4,4,3,3,3,3,3,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,4,1,5,3,4,1,1,4,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,1,3,3,1,1,3,3,1,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,3,3,4,2,3,3,4,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,1,1,1,2,1,4,4,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,3,5,3,3,2,3,5,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,1,3,4,4,3,3,1,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,2,1,2,4,4,1,4,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,4,4,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,3,2,3,1,2,1,1,5,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2,4,2,2,3,3,2,4,4,4,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,3,1,4,3,3,2,3,3,3,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,4,3,3,3,3,3,3,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,2,2,4,2,3,2,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,3,3,1,1,1,1,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,4,4,4,3,3,3,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,3,3,3,4,3,4,3,4,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,2,4,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,3,4,3,3,3,3,4,3,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,3,4,4,3,3,4,3,4,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,1,1,3,1,1,1,1,3,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1,3,3,5,3,1,2,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,3,1,1,1,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,1,4,4,4,4,4,4,4,3,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,1,4,4,3,3,3,3,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,4,3,3,5,2,2,3,3,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,3,3,3,3,3,3,3,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,3,4,3,3,3,3,3,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,2,3,1,5,3,1,2,3,4,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,4,3,4,3,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,2,3,5,3,3,3,4,3,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,3,2,4,3,3,3,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,3,4,4,3,3,3,3,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3,2,3,3,3,4,4,3,3,2,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3,2,3,3,4,3,3,3,2,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,2,4,3,5,2,2,4,4,4,4,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,1,2,1,4,3,4,1,2,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,2,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,3,4,3,3,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,2,2,4,3,4,3,4,4,3,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,3,5,3,3,3,3,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,4,4,3,3,2,3,2,2,3,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,2,3,2,3,3,4,4,3,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,3,3,3,4,3,3,3,3,4,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3,2,4,3,3,4,3,3,3,3,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,3,3,2,1,2,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,3,1,1,2,2,1,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,3,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,3,1,3,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,4,3,2,3,2,4,3,3,3,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,1,3,3,3,2,2,3,4,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,4,4,3,4,3,3,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,2,3,3,4,3,3,3,3,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,3,4,3,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,2,5,4,5,2,2,5,4,1,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,4,1,2,1,3,3,3,4,3,3,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,3,3,4,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,2,4,4,3,3,3,3,3,4,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,3,3,4,3,3,3,3,3,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,3,4,4,4,4,4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2,1,2,2,3,2,1,1,3,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,4,4,5,4,3,2,1,3,5,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,4,4,4,4,4,4,3,3,3,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,4,2,3,3,2,2,2,2,2,2,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,3,3,3,2,3,5,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,4,3,3,3,3,3,4,3,2,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,2,4,3,3,4,4,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,4,4,3,4,3,3,4,4,4,4,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,1,1,1,1,2,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2,5,4,3,3,3,3,3,3,3,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,3,5,3,3,3,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,3,3,3,3,3,3,3,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,4,3,3,3,3,3,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,3,3,2,2,3,2,2,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,4,3,3,3,3,3,3,3,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,3,3,1,1,1,1,2,3,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,2,5,2,3,2,3,2,3,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,4,2,3,5,1,3,3,3,5,5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,1,1,3,4,3,3,3,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,3,3,4,3,3,3,3,4,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,4,3,3,3,2,3,4,4,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,4,3,3,2,1,2,4,1,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,5,3,2,4,3,4,3,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,4,3,2,3,2,1,4,2,2,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,4,4,2,3,3,3,2,3,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,4,1,4,4,3,2,1,1,3,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,2,2,3,1,3,2,2,2,2,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,3,3,5,5,3,4,4,4,3,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3,1,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,2,3,3,2,2,2,2,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,3,4,3,3,3,3,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,3,3,4,3,3,3,3,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,5,5,4,3,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,4,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,3,3,4,4,3,3,2,1,3,3,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,3,4,4,4,4,4,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,3,3,3,5,3,2,4,2,2,3,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,3,3,3,3,3,3,2,2,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,3,3,5,4,4,4,4,5,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,4,4,3,3,3,3,3,3,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,3,3,3,2,2,3,4,2,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,3,3,3,3,3,3,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,5,5,5,5,5,5,5,5,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,3,3,3,3,3,3,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,1,1,5,2,2,3,3,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,2,3,3,3,3,3,3,3,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,1,3,3,3,3,3,3,3,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,3,4,4,3,3,4,3,2,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,3,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,2,4,4,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,3,4,4,5,3,2,2,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,3,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,4,4,5,3,3,4,4,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,3,5,3,4,3,3,3,3,4,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2,4,3,3,3,3,1,1,2,3,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,2,4,3,1,2,4,5,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,4,4,4,4,4,4,4,4,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,3,4,2,3,4,3,3,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,2,4,3,3,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0,3,3,3,3,3,3,3,3,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,1,5,3,3,3,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,1,4,3,3,2,2,1,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,3,4,4,3,1,1,3,2,2,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,4,3,5,3,3,4,5,2,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,2,3,5,3,3,3,3,3,4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,4,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,4,2,2,1,4,1,1,1,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,2,2,2,1,1,1,1,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,2,3,3,3,3,1,1,2,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,3,3,4,4,4,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,3,3,3,3,3,3,3,3,4,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,2,2,3,2,1,1,1,2,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,4,5,2,2,2,2,2,3,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,3,3,3,5,3,3,3,3,3,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,5,5,4,5,5,1,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,3,3,2,2,2,2,2,2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,4,1,1,2,2,4,3,3,2,3,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,3,2,3,2,3,3,3,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2,2,4,3,3,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,2,4,4,5,3,3,3,3,3,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,2,3,3,4,2,2,3,3,3,4,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,3,4,3,3,4,3,4,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,2,2,3,2,2,3,3,4,4,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,2,3,3,4,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
